S. No.,Dealer Name,Dealer Address,Location,State/Country,Contact Number,Contact Person,AI Dealer,API Dealer,
49,M/S AUTO FAST,"A House Of Premier Marketing Organization, Link Road, Cuttack - 753012",Cuttack,Odisha,(+91)-6372854884,,FALSE,TRUE,
50,M/S GANESH MOTORS - CUTTACK,"Plot No-37/563, Khata No-193, Kalyaninagar, Sub Post Office, Rajendra Nagar, Cuttack - 753013",Cuttack,Odisha,(+91)-7606035855,,FALSE,TRUE,
51,M/S GAGAN AUTO AGENCY,"Old Bus Stand, Opp. Civil Hospital, Faridkot Road, Kotkapura, Punjab - 151204",Kotkapura,Punjab,(+91)-9814468909,,TRUE,FALSE,
52,M/S GOYAL GAS KIT,"Shop No - 13466, Street No - 6, Dr. Rajpal Street, Opp. Dr. Vandana Hospital, GT Road, Bhatinda, Punjab - 151001",Bhatinda,Punjab,(+91)-9357332600,,TRUE,FALSE,
53,M/S JAI ENTERPRISES,"Shop No-21, Bibi Wala Road, Krishna Market, Bathinda, Punjab - 151001",Bhatinda,Punjab,(+91)-9872006454,,TRUE,FALSE,
54,M/S MARUTI SHOP,"Near Clock Tower, Faridkot - 151203",Faridkot,Punjab,(+91)-8498000027,,FALSE,TRUE,
55,M/S JAGDAMBA TRADING COMPANY,"Plot No. E-105, Road No. 8, Vkia Area, Jaipur, Rajasthan - 302013",Jaipur,Rajasthan,(+91)-9983888879,,TRUE,TRUE,
56,M/S JAGDAMBA TRADING COMPANY - KOTA,"Plot No. 14-15 A, New Dhaan Mandi, Kota - 324007 ( Head Office - Jaipur )",Kota,Rajasthan,(+91)-9784108905,,TRUE,TRUE,
57,M/S VRINDABAN ENTERPRISES,"B-3, Jai Shri House, Transport Nagar, Jaipur , Rajasthan - 302003",Jaipur,Rajasthan,(+91)-9413346842,,FALSE,TRUE,
58,M/S AUTOLIGHT AGENCY,"42 - 49, Ground Floor, Kunnan Konar, Street, Kattoor, Coimbatore - 641009",Coimbatore,Tamil Nadu,(+91)-9843023615,,TRUE,TRUE,
59,M/S DHANAM AUTO STORE,"120, Sengupta Street , Ram Nagar, Coimbatore - 641009",Coimbatore,Tamil Nadu,(+91)-9894222333,,TRUE,FALSE,
60,M/S RANKA TRADERS,"New 36 , Old 107,  G. P. Road, Mount Road, Chennai - 600002",Chennai,Tamil Nadu,(+91)-9840118889,,TRUE,FALSE,
61,M/S SWARNA MOTORS,"45/29, Tamil Sangam Road, Madurai - 625001",Madurai,Tamil Nadu,(+91)-9842148548,,TRUE,FALSE,
62,M/S SUBHASH AUTO ENTERPRISES,"27 & 28, Woods Road, B R Complex, Chennai - 600002",Chennai,Tamil Nadu,(+91)-8056107965,,FALSE,TRUE,
63,M/S RAO AUTO ENTERPRISES,"Minister Road 1-8-15/A, Ananth Chambers,, Ranigunj Secunderabad Hyderabad, Telangana -500003",Secunderabad,Telangana,(+91)-9849094025,,TRUE,FALSE,
64,M/S RAJDHANI MOTORS,"15-9-364/365, Siddiamber Bazar, Hyderabad - 500012",Hyderabad,Telangana,(+91)-9394500017,,FALSE,TRUE,
65,M/S UJAS MOTORS,"2-3-317, Nallagutta, Minister Road, Secunderabad - 500003",Secunderabad,Telangana,(+91)-8885550658,,FALSE,TRUE,
66,M/S BAXON AUTOMOTIVES,"123/657, Guru Nanak Auto Market, Gadarian Purwa, Kanpur - 208012",Kanpur,Uttar Pradesh,(+91)-9935818000,,TRUE,TRUE,
67,M/S SHREE BAHUBALI AGENCIES,"47, Chah Chand, Behind Ajanta Cinema, Allahabad - 211003",Prayagraj,Uttar Pradesh,(+91)-9415662043,,TRUE,FALSE,
68,M/S OM AUTOMOBILES,"Normal School Road, Khurrampur, Gorakhpur, U.P. - 273001",Gorakhpur,Uttar Pradesh,(+91)-8318630681,,FALSE,TRUE,
69,M/S PARTSBIGBOSS LIMITED,"A-10 / 18, Meerut Road, Industrial Area, Site - 3, Ghaziabad - 201003",Ghaziabad,Uttar Pradesh,(+91)-8826305577,,FALSE,TRUE,
70,M/S VAIBHAV ENTERPRISES,"913 B 678, Krishna Nagar, Prayagraj, Allahabad - 211003",Prayagraj,Uttar Pradesh,(+91)-6306414266,,FALSE,TRUE,
71,M/S DEVESH MOTORS,"15 , Sunyat Sen Street, 1st Floor, Kolkata - 700012",Kolkata,West Bengal,(+91)-8981203757,,TRUE,FALSE,
72,M/S SARASWATI CAR ACCESSORIES,"Gurudwara Market, Sevoke Road, Siliguri - 734001",Siliguri,West Bengal,(+91)-9832322139,,TRUE,TRUE,
73,M/S J.B.AUTOMOBILES PVT LTD NEPAL,,Kathmandu,Nepal,,,TRUE,TRUE,
74,M/S LAXMI TRADE INTERNATIONAL PVT LTD. NEPAL,,Kathmandu,Nepal,,,FALSE,TRUE,
75,M/S MAHAKALI AUTO NEPAL,,Butwal,Nepal,,,FALSE,TRUE,
76,M/S RISHAV INTERNATIONAL P. LTD NEPAL,,Kathmandu,Nepal,,,TRUE,TRUE,
